Brand,Display_Type,Display_Resolution,Display_size,Response Time,Refresh Rate,Brigthness,Power_Consumption,Warrantly,Price
HP,2K QHD LED,2560 x 1440,27,4,144,350,28,3,59200
Dell,4K UHD,3840 x 2160,27,8,60,350,33,3,59000
Samsung,CURVED VA,2560 x 1440,27,4,144,300,48,3,59000
Dell,2K QHD LED,2560 x 1440,25,8,60,350,24,3,58900
Asus,2K WQHD LED,1920 x 1080,31.5,5,75,250,25,3,58830
Asus,FHD LED,1920 x 1080,23.8,5,75,300,18,3,58400
Asus,FHD LED,1920 x 1080,27,0.5,165,400,40,3,58300
Asus,FHD LED,1920 x 1080,27,1,165,400,40,3,58190
Samsung,CURVED VA,1920 x 1080,27,4,240,300,48,3,58000
LG,FHD IPS,3840 x 2160,27,1,144,400,65,3,57900
Asus,FHD LED,1920 x 1080,27,5,75,250,35,3,57885
Dell,FHD LED,1920 x 1080,27,8,60,300,15,3,57503
Asus,FHD LED,1920 x 1080,23.8,5,75,300,35,3,57450
Asus,FHD LED,1920 x 1080,24.5,1,165,300,40,3,57320
Dell,FHD LED,3440 x 1440,34,4,100,300,22,3,57000
Samsung,CURVED VA,1920 x 1080,32,8,60,250,60,3,57000
Asus,2K WQHD LED,2560 x 1440,27,5,75,350,21.28,3,56750
Asus,4K UHD,3840 x 2160,32,5,60,250,56.84,3,56500
HP,2K QHD LED,2560 x 1440,27,5,60,250,25,3,56500
Dell,2K QHD LED,2560 x 1440,25,5,60,350,33.2,3,56500
Asus,FHD IPS,1920 x 1080,27,5,75,250,40,3,56300
Dell,FHD LED,1920 x 1080,27,5,60,300,21,3,56039
Dell,4K UHD,3840 x 2160,27,5,60,350,100,3,56000
HP,2K QHD LED,2560 x 1440,27,5,60,350,75,3,56000
Asus,4K UHD,3840 x 2160,27,5,60,300,60,3,55910
Asus,HD LED,3840 x 2160,27,4,60,300,90,3,55900
Asus,2K WQHD LED,2560 x 1440,27,1,170,400,26,3,55880
Dell,FHD LED,1920 x 1080,24.5,1,240,400,23,3,55759
LG,FHD IPS,2560 x 1440,27,5,75,350,60,3,55340
Dell,FHD LED,3440 x 1440,34,2,144,400,30,3,55100
Samsung,CURVED VA,2560 x 1440,32,4,144,300,59,3,55000
Samsung,CURVED VA,1920 x 1080,27,1,144,350,79,3,55000
LG,FHD IPS,1920 x 1080,27,5,144,400,35,3,55000
Dell,FHD LED,1920 x 1080,27,4,75,300,19,3,54840
Asus,FHD LED,1920 x 1080,27,5,75,250,20.4,3,54620
Asus,2K WQHD LED,2560 x 1440,27,1,165,250,28,3,54580
LG,FHD IPS,2560 x 1440,27,5,75,350,140,3,54500
HP,FHD LED,1920 x 1080,27,5,60,250,22,3,54500
Asus,FHD LED,1920 x 1080,23.8,4,144,250,16,3,54300
Asus,FHD LED,1920 x 1080,27,5,75,250,40,3,54225
Asus,FHD LED,1920 x 1080,24.5,1,144,400,40,3,54180
Dell,2K QHD LED,2560 x 1440,27,8,60,350,33.2,3,54000
Samsung,CURVED VA,1920 x 1080,32,8,60,250,50,3,54000
Samsung,CURVED VA,1920 x 1080,27,8,60,250,50,3,54000
Samsung,CURVED VA,1920 x 1080,27,4,75,200,48,3,54000
Samsung,CURVED LED,1920 x 1080,27,4,75,250,30,3,54000
Samsung,CURVED VA,1920 x 1080,27,4,75,200,34,3,54000
Samsung,CURVED VA,1920 x 1080,27,4,240,250,36,3,53500
Samsung,CURVED LED,1920 x 1080,27,4,240,250,45,3,53500
Samsung,CURVED LED,1920 x 1080,27,4,75,250,36,3,53500
Dell,FHD IPS,1920 x 1080,24,6,75,300,23,3,53500
Samsung,CURVED LED,1920 x 1080,24,1,144,350,59,3,53500
HP,FHD LED,1920 x 1080,27,5,60,250,68,3,53300
Dell,FHD LED,1920 x 1080,24,6,75,250,19,3,53200
Dell,2K QHD LED,2560 x 1440,27,8,60,350,27,3,53000
HP,FHD LED,1920 x 1080,27,5,75,300,23,3,52800
Asus,FHD LED,1920 x 1080,23.8,1,144,250,21,3,52770
Dell,FHD LED,2560 x 1440,31.5,2,144,350,26,3,52718
Samsung,FHD LED,1920 x 1080,27,4,75,250,24,3,52600
LG,FHD IPS,1920 x 1080,31.5,5,75,240,39,3,52500
HP,FHD LED,1920 x 1080,27,5,60,250,25,3,52500
HP,FHD LED,1920 x 1080,27,5,60,300,23,3,52500
Samsung,FHD IPS,1920 x 1080,25,1,144,400,30,3,52500
Asus,4K UHD,3840 x 2160,28,5,60,350,35,3,52410
Dell,FHD LED,1920 x 1080,24,6,60,250,18,3,52100
Asus,FHD LED,1920 x 1080,24,5,76,250,40,3,52010
Samsung,FHD LED,2560 x 1440,32,4,144,300,59,3,52000
Samsung,CURVED LED,2560 x 1440,32,4,144,300,59,3,52000
Samsung,CURVED VA,1920 x 1080,32,4,240,300,48,3,52000
Samsung,CURVED VA,1920 x 1080,32,4,240,300,48,3,52000
LG,FHD IPS,1920 x 1080,23.8,5,144,300,34,3,52000
Samsung,HD LED,1366 x 768,23.6,8,60,300,14,3,52000
Dell,FHD LED,1920 x 1080,27,8,75,300,23,3,51900
Dell,FHD LED,1920 x 1080,24,6,60,250,19,3,51800
Asus,FHD LED,1920 x 1080,27,5,75,250,15,3,51690
Asus,FHD LED,1920 x 1080,27,1,75,300,20.4,3,51580
Dell,FHD LED,1920 x 1080,23.8,8,60,250,17,3,51500
Asus,FHD LED,1920 x 1080,21.5,5,60,250,21.9,3,51470
Asus,2K WQHD LED,2560 x 1440,27,1,165,350,22,3,51320
Asus,2K WQHD LED,2560 x 1440,27,1,170,250,35,3,51320
LG,FHD IPS,2560 x 1440,27,1,144,350,48,3,51000
Samsung,CURVED VA,2560 x 1440,27,4,144,250,48,3,51000
Samsung,CURVED VA,2560 x 1440,32,4,144,300,48,3,51000
Samsung,CURVED VA,1920 x 1080,27,8,60,250,50,3,51000
Dell,FHD LED,1920 x 1080,24,5,60,250,12,3,51000
Asus,FHD LED,1920 x 1080,23.8,5,60,300,15,3,50920
HP,4K UHD,3840 x 2160,28,4,60,400,155,3,50824
Asus,FHD LED,1920 x 1080,24.5,0.5,165,400,40,3,50710
LG,FHD IPS,2560 x 1440,23.8,5,75,300,22,3,50640.6
Dell,FHD IPS,1920 x 1080,27,8,60,300,23,3,50600
HP,FHD LED,1920 x 1080,24,5,60,250,35,3,50500
HP,FHD LED,1920 x 1080,23.8,5,60,250,45,3,50500
HP,FHD LED,1920 x 1080,24,5,60,300,21,3,50500
Dell,FHD LED,1920 x 1080,24,8,144,350,25,3,50500
LG,FHD IPS,1920 x 1080,27,5,60,250,20.3,3,50500
LG,2K WQHD LED,2560 x 1440,31.5,5,75,350,45,3,50499.56
Dell,FHD LED,1920 x 1080,27,5,60,300,13.2,3,50400
Dell,FHD LED,1920 x 1080,24,1,144,350,25,3,50300
Asus,2K WQHD LED,2560 x 1440,27,1,165,400,22,3,50130
HP,FHD LED,1920 x 1080,32,7,75,300,30.4,3,50053
Asus,4K UHD,3840 x 2160,28,1,60,300,60,3,50010
Dell,FHD LED,1920 x 1080,27,8,60,300,19,3,50000
Samsung,CURVED LED,1920 x 1080,27,4,240,250,45,3,50000
LG,FHD IPS,1920 x 1080,27,5,75,200,28,3,50000
Samsung,FHD IPS,1920 x 1080,27,4,60,250,25,3,50000
Samsung,CURVED LED,1920 x 1080,27,1,60,350,25,3,50000
Samsung,CURVED VA,1920 x 1080,24,4,144,250,35,3,50000
